TARGET_FID,RF_Number_,RF_Median_,RF_Nationa,RF_Speed_l
427,2,5,2,50
428,2,5,2,50
429,2,0,1,50
430,2,0,1,50
431,2,0,1,55
432,2,5,4,55
433,2,5,4,45
434,2,5,4,45
435,2,0,1,45
436,2,0,1,45
437,2,0,1,50
438,2,0,1,50
439,2,0,1,50
440,2,0,1,50
441,2,0,1,50
442,2,0,1,45
443,2,0,1,45
444,2,5,4,45
445,2,5,4,45
446,2,0,1,45
447,2,1,3,45
448,2,0,1,45
449,2,0,1,45
450,2,0,1,25
451,2,0,1,50
452,2,0,1,50
453,2,0,1,55
454,2,5,4,50
455,2,0,1,55
456,2,0,1,55
457,2,0,1,55
458,2,0,1,50
459,2,0,1,55
460,2,0,1,55
461,2,0,1,55
462,2,0,1,55
463,2,0,1,50
464,2,0,1,50
465,2,0,1,50
466,2,0,1,50
467,2,0,1,50
468,2,0,1,50
469,2,0,1,55
470,2,0,1,55
471,2,0,1,55
472,2,0,1,55
473,2,0,1,55
474,2,0,1,55
475,2,0,1,55
476,2,0,1,55
477,2,0,1,55
478,2,0,1,50
479,2,0,1,50
480,2,0,1,50
481,2,0,1,50
482,2,0,1,55
483,2,5,4,55
484,2,5,4,55
485,2,0,1,55
486,2,0,1,55
487,2,0,1,55
488,2,0,1,55
489,2,0,1,55
490,2,0,1,55
492,2,0,1,55
493,2,0,1,50
494,2,0,1,55
495,2,0,1,50
496,2,0,1,55
497,2,5,4,50
498,2,0,1,50
499,3,0,1,25
500,3,0,1,25
501,2,0,1,25
502,2,0,1,25
503,2,0,1,25
504,2,0,1,25
505,2,0,1,45
506,2,0,1,25
507,2,0,1,25
508,2,0,1,25
509,2,0,1,25
510,2,0,1,25
511,2,0,1,25
512,2,0,1,25
513,2,0,1,25
514,2,0,1,25
515,2,0,1,25
516,2,0,1,45
517,2,0,1,45
518,2,0,1,45
519,2,0,1,45
520,2,0,1,45
521,2,0,1,45
522,2,0,1,45
523,2,0,1,25
524,2,0,1,25
525,2,0,1,45
526,2,0,1,25
527,2,0,1,25
528,2,0,1,25
529,2,0,1,25
530,3,0,1,25
