TARGET_FID,Ac_Unpr,E8_Svc,D3A,D3BAO,D5CEI,RF_Number_,RF_Speed_l
40109,404.53663,103,11.31654696,1.953753795,0.57975548,4,40
40111,92.9162717,5,32.0966965,0,0.869765393,2,25
40112,92.9162717,5,32.0966965,0,0.869765393,2,25
40113,92.9162717,5,32.0966965,0,0.869765393,2,25
40114,404.53663,103,11.31654696,1.953753795,0.57975548,4,40
40116,80.7416547,38,21.30298397,0,0.815089768,2,35
40117,80.7416547,38,21.30298397,0,0.815089768,4,35
40118,404.53663,103,11.31654696,1.953753795,0.57975548,4,40
40119,404.53663,103,11.31654696,1.953753795,0.57975548,4,40
40120,80.7416547,38,21.30298397,0,0.815089768,2,40
40121,80.7416547,38,21.30298397,0,0.815089768,2,40
40122,80.7416547,38,21.30298397,0,0.815089768,2,40
40123,80.7416547,38,21.30298397,0,0.815089768,2,40
40124,80.7416547,38,21.30298397,0,0.815089768,2,35
40125,80.7416547,38,21.30298397,0,0.815089768,2,40
40126,80.7416547,38,21.30298397,0,0.815089768,2,40
40128,404.53663,103,11.31654696,1.953753795,0.57975548,2,40
40132,160.22361,30,17.34652414,0,0.802401146,2,25
40133,160.22361,30,17.34652414,0,0.802401146,2,25
40134,160.22361,30,17.34652414,0,0.802401146,2,25
40135,160.22361,30,17.34652414,0,0.802401146,2,25
40136,160.22361,30,17.34652414,0,0.802401146,2,25
40137,160.22361,30,17.34652414,0,0.802401146,2,25
40138,160.22361,30,17.34652414,0,0.802401146,2,25
40139,160.22361,30,17.34652414,0,0.802401146,2,25
40143,160.22361,30,17.34652414,0,0.802401146,2,25
40144,92.9162717,5,32.0966965,0,0.869765393,2,25
40145,92.9162717,5,32.0966965,0,0.869765393,2,25
40147,160.22361,30,17.34652414,0,0.802401146,2,25
40148,160.22361,30,17.34652414,0,0.802401146,2,25
40149,160.22361,30,17.34652414,0,0.802401146,2,40
40150,119.2166073,16,23.29322343,0,0.751492455,2,35
40168,160.22361,30,17.34652414,0,0.802401146,4,25
40169,160.22361,30,17.34652414,0,0.802401146,2,25
40170,160.22361,30,17.34652414,0,0.802401146,2,25
40171,160.22361,30,17.34652414,0,0.802401146,2,25
40172,160.22361,30,17.34652414,0,0.802401146,2,25
40173,92.9162717,5,32.0966965,0,0.869765393,2,25
40174,92.9162717,5,32.0966965,0,0.869765393,2,25
40175,92.9162717,5,32.0966965,0,0.869765393,2,25
40176,92.9162717,5,32.0966965,0,0.869765393,2,25
40177,92.9162717,5,32.0966965,0,0.869765393,2,25
40178,92.9162717,5,32.0966965,0,0.869765393,2,25
40179,92.9162717,5,32.0966965,0,0.869765393,2,25
40180,92.9162717,5,32.0966965,0,0.869765393,2,25
40181,80.7416547,38,21.30298397,0,0.815089768,2,25
40182,80.7416547,38,21.30298397,0,0.815089768,2,25
40183,92.9162717,5,32.0966965,0,0.869765393,2,25
40184,92.9162717,5,32.0966965,0,0.869765393,2,25
40185,80.7416547,38,21.30298397,0,0.815089768,2,25
40186,160.22361,30,17.34652414,0,0.802401146,2,25
40187,160.22361,30,17.34652414,0,0.802401146,2,25
40188,160.22361,30,17.34652414,0,0.802401146,2,25
40189,160.22361,30,17.34652414,0,0.802401146,2,25
40190,160.22361,30,17.34652414,0,0.802401146,2,25
40191,92.9162717,5,32.0966965,0,0.869765393,2,25
40192,92.9162717,5,32.0966965,0,0.869765393,2,25
40193,92.9162717,5,32.0966965,0,0.869765393,2,25
40194,92.9162717,5,32.0966965,0,0.869765393,2,25
40195,92.9162717,5,32.0966965,0,0.869765393,2,25
