TARGET_FID,Number_of_lanes,"Population,_2018","Households_(occupied_housing_units),_2018","Percent_of_zero-car_households_in_CBG,_2018","Total_employment,_2017"
246,2,4317,1790,0.011731844,2306
247,3,2464,973,0.007194245,495
248,3,4317,1790,0.011731844,2306
249,1,4317,1790,0.011731844,2306
250,3,4317,1790,0.011731844,2306
251,3,4317,1790,0.011731844,2306
252,3,4317,1790,0.011731844,2306
253,2,1646,707,0.01980198,77
254,2,1646,707,0.01980198,77
255,2,4317,1790,0.011731844,2306
256,2,4317,1790,0.011731844,2306
257,2,4317,1790,0.011731844,2306
258,2,4317,1790,0.011731844,2306
259,2,4317,1790,0.011731844,2306
260,2,4317,1790,0.011731844,2306
261,2,4317,1790,0.011731844,2306
262,2,1872,700,0.011428571,1585
263,2,1872,700,0.011428571,1585
264,2,4317,1790,0.011731844,2306
265,2,1872,700,0.011428571,1585
266,2,1872,700,0.011428571,1585
267,2,1872,700,0.011428571,1585
268,2,1872,700,0.011428571,1585
269,2,1872,700,0.011428571,1585
270,2,1591,692,0.147398844,5478
271,2,1591,692,0.147398844,5478
272,2,969,521,0.015355086,514
273,2,969,521,0.015355086,514
274,2,4317,1790,0.011731844,2306
275,2,2019,703,0.011379801,194
276,2,4317,1790,0.011731844,2306
277,2,4317,1790,0.011731844,2306
278,2,969,521,0.015355086,514
279,2,969,521,0.015355086,514
280,2,969,521,0.015355086,514
281,2,2464,973,0.007194245,495
282,2,1646,707,0.01980198,77
283,2,4317,1790,0.011731844,2306
284,2,4317,1790,0.011731844,2306
285,2,969,521,0.015355086,514
286,2,2464,973,0.007194245,495
287,2,2464,973,0.007194245,495
288,2,4317,1790,0.011731844,2306
289,2,4317,1790,0.011731844,2306
290,2,969,521,0.015355086,514
291,3,4317,1790,0.011731844,2306
292,3,2464,973,0.007194245,495
293,2,4317,1790,0.011731844,2306
294,2,1591,692,0.147398844,5478
295,2,2464,973,0.007194245,495
296,2,2464,973,0.007194245,495
297,3,2464,973,0.007194245,495
298,2,4317,1790,0.011731844,2306
299,2,4317,1790,0.011731844,2306
300,2,2464,973,0.007194245,495
301,2,4317,1790,0.011731844,2306
302,2,4317,1790,0.011731844,2306
303,3,4317,1790,0.011731844,2306
304,2,2019,703,0.011379801,194
305,2,2464,973,0.007194245,495
306,2,2464,973,0.007194245,495
307,3,4317,1790,0.011731844,2306
308,2,4317,1790,0.011731844,2306
309,2,2019,703,0.011379801,194
310,2,2019,703,0.011379801,194
311,2,2019,703,0.011379801,194
312,2,2019,703,0.011379801,194
313,2,4317,1790,0.011731844,2306
314,2,4317,1790,0.011731844,2306
315,2,4317,1790,0.011731844,2306
316,2,2019,703,0.011379801,194
317,2,4317,1790,0.011731844,2306
318,2,4317,1790,0.011731844,2306
319,2,2019,703,0.011379801,194
320,2,969,521,0.015355086,514
321,2,4317,1790,0.011731844,2306
322,2,969,521,0.015355086,514
323,2,1646,707,0.01980198,77
324,2,969,521,0.015355086,514
325,2,4317,1790,0.011731844,2306
326,2,4317,1790,0.011731844,2306
327,2,4317,1790,0.011731844,2306
328,2,4317,1790,0.011731844,2306
329,2,4317,1790,0.011731844,2306
330,2,4317,1790,0.011731844,2306
331,2,4317,1790,0.011731844,2306
332,2,969,521,0.015355086,514
333,2,4317,1790,0.011731844,2306
334,2,969,521,0.015355086,514
335,2,969,521,0.015355086,514
336,2,969,521,0.015355086,514
337,2,969,521,0.015355086,514
338,2,4317,1790,0.011731844,2306
339,2,969,521,0.015355086,514
340,3,969,521,0.015355086,514
341,2,4317,1790,0.011731844,2306
342,2,969,521,0.015355086,514
343,2,4317,1790,0.011731844,2306
344,2,1646,707,0.01980198,77
345,2,4317,1790,0.011731844,2306
346,2,4317,1790,0.011731844,2306
347,2,969,521,0.015355086,514
348,2,4317,1790,0.011731844,2306
349,2,4317,1790,0.011731844,2306
350,2,4317,1790,0.011731844,2306
351,2,969,521,0.015355086,514
352,2,969,521,0.015355086,514
353,2,1591,692,0.147398844,5478
354,2,969,521,0.015355086,514
355,2,4317,1790,0.011731844,2306
356,2,1646,707,0.01980198,77
357,2,2019,703,0.011379801,194
358,2,969,521,0.015355086,514
359,2,4317,1790,0.011731844,2306
360,2,969,521,0.015355086,514
361,2,4317,1790,0.011731844,2306
362,3,4317,1790,0.011731844,2306
